user_id,cluster
A393JMFL7XG4PM,1
A4CAB1TZFXGB1,0
A35T7AVM3A5F4A,1
A1AMZNUN6WLB9P,0
A3Q7GATV7QSG0I,0
A2VSW5BRG7QNGP,0
A1CMSADPDOOQO1,0
A2V7Y91SE8PDW8,0
A3BBQCW3M4DVSR,1
A2D9D4I3I7W8BF,0
A240HPJ86GWKTY,0
A35QC3GTEAKOKK,1
A3GDSH267E39M1,1
A13W5Y5FU0U951,1
A1UUCUTAIG1NFT,1
A2XSG3Z8IXW0MM,0
A3U6401SG3JKVU,1
A2A4QFABBPZ6DD,1
A1SA6SOV32S01Q,0
A2SFFDTMMSUTZC,1
A2GYEPZKMD3J2Z,0
A4E6X19OUJXM3,1
A2X9UDDGM9RRPV,1
A39NOM0K7CMPUM,0
A19840SZ8WTAZD,0
A28W6RWBBVLZBN,0
A1J6S7HTVU0NQR,0
A2YD85AJPLRZCU,0
A1X5JJDQEVU3V8,1
A1U72JA5HYHE5B,1
A1P0EP5KFOTBIJ,1
A3Q203BP3E1NLG,0
A3IS0E1S646WUQ,0
A44SF144F9ALL,1
A2JCDUIVHBZBSI,0
A24UFDQH81N0Y5,0
A3AACI6O9HQ8HH,0
A38849QBSWJQ81,0
A1BA0FMKHJRJ3A,0
A1XIQMQCPGQFLN,0
A2GUXFGITEAZA9,1
A2ZZRHHP8JQW6,1
A2I52MRNFH8DIY,1
A2S6I75SWYJWN5,0
A1I1BBOXYCOC5B,0
A3PUCMSC1MWG3A,1
A1GKKSDRGNC4BN,0
A3OE01GOAD7TR4,1
A288GLLQ79W1BK,0
A2OHV6STVN16XY,0
A1IFJ23Y64JYM9,1
A3MARXEGUMJRSH,0
A2OAAS1KJN3O4I,1
A2P74W2J3FZYKC,0
A1HAMJNZ7R2XVA,1
A3CC0Y5866361V,0
A2ARDVMUGDFED6,1
A2D1VINJY5AUX0,1
A2G8I3YNTCKS5G,1
A106OWBHWB8WN9,0
A3BO3B7AEGBLGV,0
A2VM5EXL97Q6IE,0
A2T3P64FS7G36M,1
A21INUA35HX4XQ,0
A9B01TZV93Z1A,1
A3SECYOXSRKIPV,1
A5WME22QVDPBF,0
A289Q57GBLFISH,0
A1AU2UP5PIFMBL,0
A28NQVJVUINPMP,0
A34CPHRQ5FL0GI,0
A2PHN6F1YGOW3V,1
A17J8ICY2DCCW3,0
A1KB113EDZM28R,1
A1FXRHTM5RRUR0,1
A2JIPZ847U95T6,1
