user_id,condition,D1_style_margin,D2_author_id_top10,D4_semantic_sim,D5_perfect_rate
AE4YLXZ3JT2F75TQTRY6BL6UD6UA,A_sampled,0.356688417494297,1,0.6723271831870079,0.125
AE4YLXZ3JT2F75TQTRY6BL6UD6UA,B_mean,0.356688417494297,1,0.6437036991119385,0.0
AE4YLXZ3JT2F75TQTRY6BL6UD6UA,C_shuffled,0.3356921151280403,1,0.7237618193030357,0.125
AE4YLXZ3JT2F75TQTRY6BL6UD6UA,D_off,0.3772425353527069,1,0.6986857503652573,0.25
AEB2KGGJANOW27FHME4SJ3IIFGIA,A_sampled,0.277628518640995,1,0.792402870953083,0.25
AEB2KGGJANOW27FHME4SJ3IIFGIA,B_mean,0.2919299751520157,1,0.7703210860490799,0.125
AEB2KGGJANOW27FHME4SJ3IIFGIA,C_shuffled,0.2853488028049469,1,0.7953005582094193,0.25
AEB2KGGJANOW27FHME4SJ3IIFGIA,D_off,0.277628518640995,1,0.7977457717061043,0.25
AEDTSN4EJBDRNO3U75QDDYLJTJ4A,A_sampled,0.22216016054153442,1,0.7645714208483696,0.25
AEDTSN4EJBDRNO3U75QDDYLJTJ4A,B_mean,0.35040122270584106,1,0.7722490429878235,0.5
AEDTSN4EJBDRNO3U75QDDYLJTJ4A,C_shuffled,0.33403438329696655,1,0.7527301609516144,0.5
AEDTSN4EJBDRNO3U75QDDYLJTJ4A,D_off,0.3218129277229309,1,0.8020342066884041,0.375
AEDVKDAZN7FTLWSG3VSXZNTW2IDQ,A_sampled,0.313151977956295,1,0.7406467795372009,0.625
AEDVKDAZN7FTLWSG3VSXZNTW2IDQ,B_mean,0.17718592379242182,0,0.7014846354722977,0.25
AEDVKDAZN7FTLWSG3VSXZNTW2IDQ,C_shuffled,-0.11692707985639572,0,0.6950441151857376,0.375
AEDVKDAZN7FTLWSG3VSXZNTW2IDQ,D_off,0.008476290851831436,0,0.8098059594631195,1.0
AEIMKGOOPJCFS55HP4VNWY4N3SVQ,A_sampled,-0.035009381826967,0,0.6770342960953712,0.125
AEIMKGOOPJCFS55HP4VNWY4N3SVQ,B_mean,-0.014221131801605225,0,0.6515300646424294,0.0
AEIMKGOOPJCFS55HP4VNWY4N3SVQ,C_shuffled,0.11663524806499481,1,0.6744069680571556,0.25
AEIMKGOOPJCFS55HP4VNWY4N3SVQ,D_off,-0.4002612680196762,0,0.7138312831521034,0.25
AEKZNV5KOIJKBCW3H2RSQVO63DSQ,A_sampled,-0.3508569672703743,0,0.7732065469026566,0.25
AEKZNV5KOIJKBCW3H2RSQVO63DSQ,B_mean,-0.40361110493540764,0,0.7185190692543983,0.125
AEKZNV5KOIJKBCW3H2RSQVO63DSQ,C_shuffled,-0.34152412228286266,0,0.8099974989891052,0.5
AEKZNV5KOIJKBCW3H2RSQVO63DSQ,D_off,-0.37735989689826965,0,0.7645485252141953,0.5
AEQ6P4YGW6NO3JICID7U73FG6HLQ,A_sampled,0.15268169343471527,1,0.7149308994412422,0.375
AEQ6P4YGW6NO3JICID7U73FG6HLQ,B_mean,0.2679859595373273,1,0.7420412823557854,0.75
AEQ6P4YGW6NO3JICID7U73FG6HLQ,C_shuffled,-0.08137629739940166,0,0.8142287507653236,0.625
AEQ6P4YGW6NO3JICID7U73FG6HLQ,D_off,0.4117537960410118,1,0.8505101874470711,1.0
AER6II7VS3FHCWLZZTNXHXBZCMEA,A_sampled,0.3335115984082222,1,0.6423168703913689,0.125
AER6II7VS3FHCWLZZTNXHXBZCMEA,B_mean,0.31233570724725723,1,0.7309551164507866,0.125
AER6II7VS3FHCWLZZTNXHXBZCMEA,C_shuffled,0.2041819542646408,1,0.7572760283946991,0.25
